Two reactions fluxes result

Flux1 : R_EX_glc_e
Flux2 : R_EX_o2_e
Objective : R_Biomass_Ecoli_core_w_GAM

Flux1	Flux2	Objective
-10.5	-17.5	0.798181
-10.5	-16.5	0.775225
-10.5	-15.5	0.75227
-10.5	-16.0	0.763748
-10.5	-15.0	0.737782
-10.5	-14.5	0.721534
-10.5	-13.5	0.689037
-10.5	-14.0	0.705285
-10.5	-13.0	0.672789
-10.5	-12.0	0.640292
-10.5	-12.5	0.656541
-10.5	-11.5	0.624044
-10.5	-11.0	0.607796
-10.5	-10.5	0.591547
-10.5	-10.0	0.575299
-10.5	-9.5	0.559051
-10.5	-9.0	0.542802
-10.5	-8.5	0.526554
-10.5	-8.0	0.510306
-10.5	-7.5	0.494057
-10.5	-7.0	0.477809
-10.5	-6.5	0.460874
-10.5	-6.0	0.442875
-10.5	-5.5	0.424877
-10.5	-5.0	0.406878
-10.5	-4.5	0.388879
-10.5	-4.0	0.370881
-10.5	-3.5	0.352882
-10.5	-2.5	0.316885
-10.5	-3.0	0.334884
-10.5	-2.0	0.298887
-10.5	-1.5	0.280888
-10.5	-1.0	0.26289
-10.5	-0.5	0.244891
-10.5	0.0	0.226892
-10.0	-20.0	0.832614
-10.0	-19.5	0.821136
-10.0	-19.0	0.809658
-10.0	-18.5	0.798181
-10.0	-18.0	0.786703
-10.0	-17.5	0.775225
-10.0	-16.5	0.75227
-10.0	-16.0	0.740793
-10.0	-17.0	0.763748
-10.0	-15.5	0.729315
-10.0	-15.0	0.717837
-10.0	-14.5	0.705285
-10.0	-14.0	0.689037
-10.0	-13.5	0.672789
-10.0	-13.0	0.656541
-10.0	-12.5	0.640292
-10.0	-12.0	0.624044
-10.0	-11.5	0.607796
-10.0	-11.0	0.591547
-10.0	-10.5	0.575299
-10.0	-9.5	0.542802
-10.0	-9.0	0.526554
-10.0	-8.5	0.510306
-10.0	-10.0	0.559051
-10.0	-8.0	0.494057
-10.0	-7.0	0.461561
-10.0	-7.5	0.477809
-10.0	-6.5	0.445312
-10.0	-5.5	0.409647
-10.0	-6.0	0.427646
-10.0	-5.0	0.391648
-10.0	-4.5	0.37365
-10.0	-4.0	0.355651
-10.0	-3.0	0.319654
-10.0	-2.5	0.301656
